__id__,supplier,wash_temperature,collection,price,name,erp_name,description,color,variation_name,image,material,brand,meta_title,care_instructions,size,variation_image,composition
dressshoe,"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,,"[{'locale': None, 'scope': None, 'data': [{'amount': '444.00', 'currency': 'EUR'}]}]",,"[{'locale': 'en_US', 'scope': None, 'data': 'Dress shoe'}]",,,,"[{'locale': None, 'scope': None, 'data': 'a/b/7/8/ab78aef0912393ef4f5a2227f299da2113a6d145_dressshoe.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/a/b/7/8/ab78aef0912393ef4f5a2227f299da2113a6d145_dressshoe.jpg/download'}}}]",,,,,,,
aphrodite,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '700'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '299.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Top Layered Sleeveless gauze snake print'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Aphrodite'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Top Layered Sleeveless gauze snake print. Pleated round neck and drop back closure. · Back length 55.2 cmCes measures are calculated for a size M.'}]",,,,,,,,,,
elegance,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'elegance'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Elegance'}]",,"[{'locale': None, 'scope': None, 'data': 'black'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Elegance'}]","[{'locale': None, 'scope': None, 'data': 'c/e/b/e/cebebe9ce3b612d21430be9cb4f0343b9b082b1b_elegance.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/c/e/b/e/cebebe9ce3b612d21430be9cb4f0343b9b082b1b_elegance.jpg/download'}}}]",,,,,,,
eris,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '700'}]","[{'locale': None, 'scope': None, 'data': ['spring_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '399.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Relaxed with a classic or dynamic piec'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Eris'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Relaxed with a classic or dynamic piece with an extravagant accessory: white blouse with it the Mexx brand, your look will be 100% successful!\n\nLength: normal\nCut: bent\nBack width: 46 cm\nModel: 178 cm\nOccasion: Business\nPattern / Color: Solid colors\nTotal length: 67 cm in size 36\nCol: flared neck\nSleeve length: 63 cm in size 36\nSleeve type: Long Sleeve\nComposition: 67% cotton, 28% polyamide, 5% elastane\nCare instructions: machine wash at 30 ° C'}]",,,,,,,,,,
galesh,"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,"[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '144.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'galesh'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Galesh shoe'}]",,,,,,,,,,,
hades,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['autumn_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '699.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Elegant slim long sleeve shirt'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Hades'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Elegant slim long sleeve shirt white with button-down collar and breast pocket. 65% polyester, 35% cotton. Machine washable.'}]",,,,,,,,,,
hefaistos,"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['summer_2017']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Jacket and trousers'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Hefaistos'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Jacket and trousers: 39% polyester, 37% acrylic, 15% wool, 7% nylon, 1% cotton, 1% viscose. Dry clean only.'}]",,,,,,,,,,
hera,"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': '400'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '699.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'hera'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Hera'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Relaxed with a classic or dynamic piece with an extravagant accessory: white blouse with it the Mexx brand, your look will be 100% successful!\n\nLength: normal\nCut: bent\nBack width: 46 cm\nModel: 178 cm\nOccasion: Business\nPattern / Color: Solid colors\nTotal length: 67 cm in size 36\nCol: flared neck\nSleeve length: 63 cm in size 36\nSleeve type: Long Sleeve\nComposition: 67% cotton, 28% polyamide, 5% elastane\nCare instructions: machine wash at 30 ° C'}]",,,,,,,,,,
hermes,"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': '800'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '799.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Suit Jacket Heritage multicolored'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Hermes'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Suit Jacket Heritage multicolored checkered Prince of Wales with single breasted 2 button and skinny pants to match.'}]",,,,,,,,,,
hestia,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '700'}]","[{'locale': None, 'scope': None, 'data': ['winter_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'hestia'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Hestia'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Model: Model is 180 cm tall and wears a size 36'}]",,,,,,,,,,
jack,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'jack'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Jack'}]",,,,,,,,,,,
jellyshoes,"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,"[{'locale': None, 'scope': None, 'data': ['winter_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '176.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'jellyshoes'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Jelly shoe'}]",,,,,,,,,,,
apollon,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['winter_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '899.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Long gray suit jacket and matching pants unstructured'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Apollon'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Long gray suit jacket and matching pants unstructured. 61% wool, 30% polyester, 9% ramie. Dry clean only.'}]",,,"[{'locale': None, 'scope': None, 'data': 'c/e/5/3/ce531b5e95eb7e375c27fb33de2db2768380534a_apollon.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/c/e/5/3/ce531b5e95eb7e375c27fb33de2db2768380534a_apollon.jpg/download'}}}]",,,,,,,
juno,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['spring_2015']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '349.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'juno'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Juno'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Back width: 40 cm in size 36\nModel: Model is 180 cm tall and wears a size 36\nCervical Shape: V-Neck\nPattern / Color: Solid colors\nTotal length: 45 cm in size 36\nTransparency: light\nHandle Type: Sleeveless\nComposition: 100% polyester\nCare instructions: machine wash at 40 ° C, do not put in dryer, washing delicates'}]",,,,,,,,,,
minerva,"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['spring_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '799.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'minerva'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Minerva'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Relaxed with a classic or dynamic piece with an extravagant accessory: white blouse with it the Mexx brand, your look will be 100% successful!\n\nLength: normal\nCut: bent\nBack width: 46 cm\nModel: 178 cm\nOccasion: Business\nPattern / Color: Solid colors\nTotal length: 67 cm in size 36\nCol: flared neck\nSleeve length: 63 cm in size 36\nSleeve type: Long Sleeve\nComposition: 67% cotton, 28% polyamide, 5% elastane\nCare instructions: machine wash at 30 ° C'}]",,,,,,,,,,
moccasin,"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,"[{'locale': None, 'scope': None, 'data': ['spring_2015']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '322.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'moccasin'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Moccasin'}]",,,,,,,,,,,
plain,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'plain'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Plain'}]",,,,,,,,,,,
portunus,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '400'}]","[{'locale': None, 'scope': None, 'data': ['autumn_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '599.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Black shorts with pattern Christmas Santa tattoo'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Portunus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Black shorts with pattern Christmas Santa tattoo. 100% cotton. Machine washable.'}]",,,,,,,,,,
poseidon,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': 'hand'}]","[{'locale': None, 'scope': None, 'data': ['summer_2017']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '699.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Vintage skinny jeans'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Poseidon'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Vintage skinny jeans is part of the collection Topman long time. Second pair of denim collection with 13 oz edge and raw edges, this style is totally unique with its coated blue color. 100% cotton. Machine washable.'}]",,,,,,,,,,
quirinus,"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': 'hand'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'quirinus'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Quirinus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Black shorts with pattern Christmas Santa tattoo. 100% cotton. Machine washable.'}]",,,,,,,,,,
samtv,,,,,"[{'locale': None, 'scope': None, 'data': 'TV SAMSUNG'}]",,"[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'TV SAMSUNG'}]",,,,,,,,,,
securitas,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '800'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '799.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'securitas'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Securitas'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Length: normal\nFit: Normal\nMaterial: Denim\nBack width: 47 cm\nModel: 186 cm\nOccasion: relax\nTotal length: 73 cm in size M\nCollar: button down collar\nSleeve length: 66 cm in size M\nSleeve type: Long Sleeve\nComposition: 100% cotton\nCare instructions: machine wash at 30 ° C'}]",,,,,,,,,,
stilleto,"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,"[{'locale': None, 'scope': None, 'data': ['spring_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '123.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'stilleto'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Stiletto'}]",,,,"[{'locale': None, 'scope': None, 'data': 'd/7/e/9/d7e9ba3ebafc073d0a80df601b5780fba6918f19_stilleto.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/d/7/e/9/d7e9ba3ebafc073d0a80df601b5780fba6918f19_stilleto.jpg/download'}}}]",,,,,,,
ares,"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['spring_2015']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '1099.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Blazer wool mixed with sand print foot hen'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Ares'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': ""Blazer wool mixed with sand print foot hen, single breasted with two buttons, patch pockets and contrasting lapel collar, model 'Vienna'. Das Model 185 cm groß ist und trägt Größe 40 (DE Größe 50 - 101cm Brustumfang) 60% wool, 30% polyester, 10% cotton. Machine washable.""}]",,,,,,,,,,
stock,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'stock'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Stock'}]",,"[{'locale': None, 'scope': None, 'data': 'red'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Stock'}]",,,,,,,,
terminus,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '700'}]","[{'locale': None, 'scope': None, 'data': ['winter_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'terminus'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Terminus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Short chino solid light yellow. 100% cotton. Machine washable.'}]",,,"[{'locale': None, 'scope': None, 'data': '5/b/3/a/5b3a658bacefe45d84498f09f79e2b81e419c567_terminus.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/5/b/3/a/5b3a658bacefe45d84498f09f79e2b81e419c567_terminus.jpg/download'}}}]",,,,,,,
venus,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['spring_2015']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '149.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'venus'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Venus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Length: noon\nCup: close to the body\nModel: Model is 175 cm tall and wears a size 36\nCervical shape: round neck\nOccasion: festive evening\nTotal length: 99 cm in size 36\nDetails: zipper\nComposition: 75% viscose, 22% nylon, 3% elastane\nCare instructions: do not tumble dry machine, hand wash'}]",,,,,,,,,,
vulcanus,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['spring_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'vulcanus'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Vulcanus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Black shorts with Christmas mistletoe pattern. 100% cotton. Machine washable.'}]",,,,,,,,,,
zeus,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '400'}]","[{'locale': None, 'scope': None, 'data': ['autumn_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '1290.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'zeus'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Zeus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Poplin shirts are easy to iron and do not wrinkle. A must-have for any wardrobe that respects the Ellington section has a hidden button collar and a fitted and stylish look. 100% cotton. * Returns this article are made only by post. This item can only be returned in store.'}]",,,,,,,,,,
model-biker-jacket,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Biker jacket'}]",,"[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Biker jacket'}]",,,,,,,,,,
model-braided-hat,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Braided hat '}]",,"[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Braided hat '}]","[{'locale': None, 'scope': None, 'data': 'grey'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Braided hat battleship grey'}]","[{'locale': None, 'scope': None, 'data': 'c/f/a/3/cfa378fe5d47a85fd95360560aaa38732fd4c74a_braided_hat.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/c/f/a/3/cfa378fe5d47a85fd95360560aaa38732fd4c74a_braided_hat.jpg/download'}}}]","[{'locale': None, 'scope': None, 'data': 'wool'}]",,,,,,
model-running-shoes,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Running shoes'}]",,"[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Running shoes'}]",,,,"[{'locale': None, 'scope': None, 'data': 'leather'}]",,,,,,
model-tshirt-divided,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '400'}]","[{'locale': None, 'scope': None, 'data': ['summer_2017']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '19.00', 'currency': 'EUR'}, {'amount': '19.00', 'currency': 'USD'}]}]","[{'locale': None, 'scope': None, 'data': 'Cotton t-shirt with a round neck Divided'}]","[{'locale': 'en_US', 'scope': None, 'data': 'T-shirt DIVIDED'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Divided slim T-shirt with a round neck'}]",,,"[{'locale': None, 'scope': None, 'data': '5/1/c/6/51c653120f7b3045b7e19f8a64c92c78fcbfb662_red.png', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/5/1/c/6/51c653120f7b3045b7e19f8a64c92c78fcbfb662_red.png/download'}}}]",,"[{'locale': None, 'scope': None, 'data': 'akeneo'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Cotton t-shirt with a round neck Divided'}]","[{'locale': None, 'scope': None, 'data': 'Machine wash 40°'}]",,,
model-tshirt-unique-color-kurt,,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'T-shirt with a Kurt Cobain print motif'}]",,"[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Divided slim T-shirt with 2 buttons in the honor of the legendary Kurt Cobain.'}]","[{'locale': None, 'scope': None, 'data': 'red'}]",,,"[{'locale': None, 'scope': None, 'data': 'cotton'}]",,,,,,
artemis,"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '400'}]","[{'locale': None, 'scope': None, 'data': ['spring_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'T-Shirt cotton round neck'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Artemis'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'T-Shirt cotton round neck, three quarter sleeves and neckline in the back.'}]",,,"[{'locale': None, 'scope': None, 'data': '5/1/b/9/51b91fbc9207be1b646ec0d2afbcdbf3ae3b8420_artemis.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/5/1/b/9/51b91fbc9207be1b646ec0d2afbcdbf3ae3b8420_artemis.jpg/download'}}}]",,,,,,,
